6.36	6.83	7.27	7.72	8.18	8.63	9.13	9.54	10	10.43	10.87	11.43	11.81	12.27	12.72	13.09	13.62	14.08	14.47	14.99	15.42	15.9	16.36	16.81	17.26	17.72	18.17	18.63	19.08	19.49	19.99	20.45	21.35	21.73	22.18	22.65	23.12	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.13	27.71	28.16	28.62	29.08	29.53	29.88	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.03	34.53	34.98	35.44	35.89	36.35	36.8	37.26	37.71	38.16	38.52	39.07	39.53	39.82	40.27	40.89	41.26	41.6	42.12	42.71	43.16	43.62	44.01	44.53	44.98	45.42	45.89	46.34	46.78	47.19	47.61	48.13	48.61	49.07	49.52	50.43	51.34	51.79	52.25	53.16	53.61	54.07	54.52	54.98	55.43	55.88			
7.27	7.62	8.18	8.55	9.09	9.5	10	10.42	10.9	12.27	14.08	14.41	14.99	15.45	16.81	17.25	17.72	18.03	18.63	19.54	19.99	20.45	20.9	21.35	21.81	22.16	22.51	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.26	27.71	28.17	28.62	29.08	29.53	29.99	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.04	34.53	34.98	35.44	35.89	36.35	36.8	37.26	37.71	38.16	38.52	39.07	39.53	39.98	40.44	40.89	41.34	41.73	42.25	42.71	43.16	43.62	44.01	44.53	44.98	45.43	45.89	46.34	46.76	47.22	47.68	48.16	48.64	49.1	49.52	50.43	50.89	51.34	51.79	52.25	52.7	53.16	54.07	54.52	54.98	55.43	55.88											
8.63	10.45	10.9	12.27	12.72	21.81	23.17	23.59	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.26	27.71	28.08	28.61	29.08	29.53	29.95	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.05	34.53	34.98	35.39	35.89	36.35	37.31	37.9	38.51																																																																						
6.36	6.82	7.24	7.74	8.18	8.63	9.09	11.36	11.81	12.72	13.16	13.63	14.08	14.54	14.99	15.45	16.36	16.81	17.26	17.67	18.17	18.63	19.08	19.54	19.99	20.45	20.9	21.35	21.79	22.29	22.72	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.19	27.71	28.16	28.62	29.08	29.53	29.99	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.44	35.89	36.35	36.8	37.26	37.63	38.12	38.66	39.37	39.82	40.32																																									
5.91	8.18	9.54	10.45	12.27	16.36	16.81	17.2	17.72	18.04	18.51	19.08	19.49	20.07	20.51	20.94	21.41	21.81	22.25	22.72	23.15	23.63	24.53	24.99	25.44	25.9	26.35	26.81	27.26	27.71	28.14	28.62	29.08	29.53	29.94	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.03	34.53	34.98	35.44	35.89	36.35	36.8	37.26	37.69	38.16	38.53	39.07	39.53	39.95	40.39	40.94	41.49	41.93	42.25	42.71	43.16	43.62	44.05	44.53	44.98	45.38	45.89	46.34	46.8	47.25	47.67	48.16	48.61	49.07	49.52	49.98	50.43	50.89	51.34	51.79	52.25	52.7	53.16	53.61	54.52																					
5.45	5.93	6.32	6.82	7.24	7.74	8.17	8.68	9.09	9.48	9.93	10.45	10.89	11.36	11.81	12.27	12.72	13.18	13.63	14.08	14.54	14.93	15.45	15.9	16.36	16.81	17.26	17.72	18.13	18.56	19.08	19.54	19.99	20.45	20.9	21.35	21.81	22.26	22.72	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.3	26.81	27.26	27.73	28.1	28.62	29.53	29.99	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.01	34.53	34.98	35.4	35.89	36.35	36.8	37.26	37.71	38.16	38.56	39.03	39.57	40.08	40.89	41.31	41.82																														
7.72	8.18	8.62	9.03	9.54	10	10.43	10.9	11.34	11.84	12.31	12.71	13.18	13.59	14.05	14.54	14.99	15.45	15.9	16.36	16.79	17.26	17.72	18.17	18.63	19.08	19.54	19.99	20.36	20.9	21.35	21.81	22.2	22.72	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.3	26.81	29.53	29.99	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.37	35.84	36.35	36.8	37.24	37.7	38.17	38.69	39.2	39.7																																											
6.82	7.21	7.69	8.18	8.61	9.09	9.54	10	10.38	10.85	11.35	11.81	12.25	12.72	13.14	13.63	14.08	14.54	14.99	15.45	16.36	16.81	17.26	17.72	18.17	18.63	19.08	19.54	19.99	20.45	20.9	21.35	21.81	22.22	22.72	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.27	26.81	29.08	29.53	29.99	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	33.96	34.53	34.98	35.36	35.89	36.35	36.8	37.26	37.71	38.16	38.65	39.2	39.66	40.17	40.73																																							
5.91	9.09	9.54	10	10.45	10.83	11.29	11.81	12.24	12.73	13.17	13.63	14.08	14.49	14.99	15.45	15.9	16.34	16.77	17.26	17.72	18.17	18.61	19.05	19.5	19.99	20.35	20.9	21.3	21.81	22.13	22.56	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.26	27.68	28.11	28.62	29.53	29.99	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.38	35.85	36.41	36.84	37.26	37.59	38.11	38.58	39.08	39.64																																									
6.36	6.84	7.27	7.66	8.18	8.53	8.96	9.54	9.96	10.43	10.9	11.36	14.08	14.54	14.99	15.38	15.9	16.36	16.81	17.22	17.72	18.17	18.63	19.08	19.43	19.99	20.45	20.9	21.35	22.17	22.58	23.17	23.63	24.08	24.53	24.99	25.44	25.9	26.35	26.81	27.26	27.66	28.07	28.62	29.08	29.53	29.99	30.44	30.9	31.35	31.8	32.26	32.71	33.17	33.62	34.08	34.53	34.98	35.4	35.89	36.35	36.76	37.26	37.71	38.16	38.53	38.94	39.53	40.07	40.58	41.25	41.87	42.51	43.28	43.79	44.35	44.98	45.46	45.97	46.51	47.12	47.77	48.61	49.07	49.52	49.98	50.43																						
